Date,Region,Channel,Orders,Revenue,ReturnRate
2025-01-02,North,Online,120,18450,0.03
2025-01-03,South,Partner,88,12900,0.02
2025-01-04,West,Online,140,22100,0.04
2025-01-05,East,Retail,64,9100,0.01
2025-01-06,North,Retail,78,11850,0.02
2025-01-07,South,Online,156,24500,0.05
2025-01-08,West,Partner,99,15450,0.03
2025-01-09,East,Online,135,21300,0.02
2025-01-10,North,Partner,110,17600,0.02
2025-01-11,South,Retail,72,9900,0.01
2025-01-12,West,Online,165,26850,0.04
2025-01-13,East,Partner,84,12400,0.03
2025-01-14,North,Online,142,23100,0.05
2025-01-15,South,Partner,96,14800,0.02
2025-01-16,West,Retail,70,10500,0.02
2025-01-17,East,Online,150,23900,0.03
